"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L46008","TrajectoryDeterminationProblem.java","/share/ProjectData/Math/45/src/site/resources/userguide/TrajectoryDeterminationProblem.java","L46007","10","0","0","11","136","188"
"L120","Field.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/Field.java","L119","1","0","4","0","6","60"
"L121","FieldElement.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/FieldElement.java","L119","1","0","9","0","11","82"
"L122","MathException.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/MathException.java","L119","5","0","14","0","71","209"
"L123","MathRuntimeException.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/MathRuntimeException.java","L119","5","0","24","0","214","516"
"L124","package-info.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/package-info.java","L119","1","0","0","0","1","21"
"L139","BivariateRealFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/BivariateRealFunction.java","L138","1","0","2","0","4","37"
"L140","DifferentiableMultivariateRealFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/DifferentiableMultivariateRealFunction.java","L138","1","0","3","0","5","52"
"L141","DifferentiableMultivariateVectorialFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/DifferentiableMultivariateVectorialFunction.java","L138","1","0","2","0","5","37"
"L142","DifferentiableUnivariateMatrixFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateMatrixFunction.java","L138","1","0","2","0","5","36"
"L143","DifferentiableUnivariateRealFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateRealFunction.java","L138","1","0","2","0","5","35"
"L144","DifferentiableUnivariateVectorialFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateVectorialFunction.java","L138","1","0","2","0","5","36"
"L145","FunctionUtils.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/FunctionUtils.java","L138","5","0","9","0","80","185"
"L146","MultivariateMatrixFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/MultivariateMatrixFunction.java","L138","1","0","2","0","5","37"
"L147","MultivariateRealFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/MultivariateRealFunction.java","L138","1","0","2","0","4","44"
"L148","MultivariateVectorialFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/MultivariateVectorialFunction.java","L138","1","0","2","0","5","37"
"L149","package-info.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/package-info.java","L138","1","0","0","0","1","34"
"L150","ParametricUnivariateRealFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/ParametricUnivariateRealFunction.java","L138","1","0","3","0","5","46"
"L151","TrivariateRealFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/TrivariateRealFunction.java","L138","1","0","2","0","4","37"
"L152","UnivariateMatrixFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/UnivariateMatrixFunction.java","L138","1","0","2","0","4","35"
"L153","UnivariateRealFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java","L138","1","0","2","0","4","83"
"L154","UnivariateVectorialFunction.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/analysis/UnivariateVectorialFunction.java","L138","1","0","2","0","4","35"
"L4807","Complex.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/complex/Complex.java","L4806","77","0","43","0","391","1222"
"L4808","ComplexField.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/complex/ComplexField.java","L4806","1","0","5","0","27","85"
"L4809","ComplexFormat.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/complex/ComplexFormat.java","L4806","19","0","20","0","177","398"
"L4810","ComplexUtils.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/complex/ComplexUtils.java","L4806","2","0","2","0","16","73"
"L4811","package-info.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/complex/package-info.java","L4806","1","0","0","0","1","24"
"L5534","BracketingNthOrderBrentSolverDFP.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/dfp/BracketingNthOrderBrentSolverDFP.java","L5533","37","0","10","0","205","439"
"L5535","Dfp.java","/share/ProjectData/Math/45/src/main/java/org/apache/commons/math/dfp/Dfp.java","L5533","362","0","53","0","1518","2495"
